Map_name,Map_url,VectorPackage_url,Tiff300_url
Accumoli: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_08ACCUMOLI_GRADING_OVERVIEW-MONIT02/1,http://emergency.copernicus.eu/mapping/download/131671/EMSR177_08ACCUMOLI_GRADING_OVERVIEW-MONIT02_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_08ACCUMOLI_GRADING_OVERVIEW-MONIT02_v1_300dpi.tif
Accumoli Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_25ACCUMOLIAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132005/EMSR177_25ACCUMOLIAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_25ACCUMOLIAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Amatrice Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW/3,http://emergency.copernicus.eu/mapping/download/132533/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW_v3_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_20AMATRICEAERIAL_GRADING_OVERVIEW_v3_300dpi.tif
Amatrice East: Grading Map Monitoring 1,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_11AMATRICEEAST_GRADING_OVERVIEW-MONIT01/1,http://emergency.copernicus.eu/mapping/download/131820/EMSR177_11AMATRICEEAST_GRADING_OVERVIEW-MONIT01_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_11AMATRICEEAST_GRADING_OVERVIEW-MONIT01_v1_300dpi.tif
Amatrice West: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_10AMATRICEWEST_GRADING_OVERVIEW-MONIT02/1,http://emergency.copernicus.eu/mapping/download/131609/EMSR177_10AMATRICEWEST_GRADING_OVERVIEW-MONIT02_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_10AMATRICEWEST_GRADING_OVERVIEW-MONIT02_v1_300dpi.tif
Arafranco Pinaco: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_13ARAFRANCOPINACO_GRADING_OVERVIEW-MONIT02/1,http://emergency.copernicus.eu/mapping/download/131641/EMSR177_13ARAFRANCOPINACO_GRADING_OVERVIEW-MONIT02_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_13ARAFRANCOPINACO_GRADING_OVERVIEW-MONIT02_v1_300dpi.tif
Arquata del Tronto Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_19ARQUATADELTRONTOAERIAL_GRADING_OVERVIEW/3,http://emergency.copernicus.eu/mapping/download/132027/EMSR177_19ARQUATADELTRONTOAERIAL_GRADING_OVERVIEW_v3_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_19ARQUATADELTRONTOAERIAL_GRADING_OVERVIEW_v3_300dpi.tif
Capodacqua: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_04CAPODACQUA_GRADING_OVERVIEW-MONIT02/2,http://emergency.copernicus.eu/mapping/download/132078/EMSR177_04CAPODACQUA_GRADING_OVERVIEW-MONIT02_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_04CAPODACQUA_GRADING_OVERVIEW-MONIT02_v2_300dpi.tif
Capodacqua Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_14CAPODACQUAAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/132016/EMSR177_14CAPODACQUAAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_14CAPODACQUAAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
Casale Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_15CASALEAERIAL_GRADING_OVERVIEW/1,http://emergency.copernicus.eu/mapping/download/131853/EMSR177_15CASALEAERIAL_GRADING_OVERVIEW_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_15CASALEAERIAL_GRADING_OVERVIEW_v1_300dpi.tif
Castiglione: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_12CASTIGLIONE_GRADING_OVERVIEW-MONIT02/1,http://emergency.copernicus.eu/mapping/download/131630/EMSR177_12CASTIGLIONE_GRADING_OVERVIEW-MONIT02_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_12CASTIGLIONE_GRADING_OVERVIEW-MONIT02_v1_300dpi.tif
Colle: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_06COLLE_GRADING_OVERVIEW-MONIT02/1,http://emergency.copernicus.eu/mapping/download/131656/EMSR177_06COLLE_GRADING_OVERVIEW-MONIT02_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_06COLLE_GRADING_OVERVIEW-MONIT02_v1_300dpi.tif
Cornillo Vecchio Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_22CORNILLOVECCHIOAERIAL_GRADING_OVERVIEW/1,http://emergency.copernicus.eu/mapping/download/131890/EMSR177_22CORNILLOVECCHIOAERIAL_GRADING_OVERVIEW_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_22CORNILLOVECCHIOAERIAL_GRADING_OVERVIEW_v1_300dpi.tif
Forca Canapine: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_01FORCACANAPINE_GRADING_OVERVIEW-MONIT02/1,http://emergency.copernicus.eu/mapping/download/131684/EMSR177_01FORCACANAPINE_GRADING_OVERVIEW-MONIT02_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_01FORCACANAPINE_GRADING_OVERVIEW-MONIT02_v1_300dpi.tif
Grisciano: Grading Map Monitoring 2,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_05GRISCIANO_GRADING_OVERVIEW-MONIT02/1,http://emergency.copernicus.eu/mapping/download/131726/EMSR177_05GRISCIANO_GRADING_OVERVIEW-MONIT02_v1_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_05GRISCIANO_GRADING_OVERVIEW-MONIT02_v1_300dpi.tif
Illica Aerial: Grading Map,http://emergency.copernicus.eu/mapping/ems-product-component/EMSR177_16ILLICAAERIAL_GRADING_OVERVIEW/2,http://emergency.copernicus.eu/mapping/download/131985/EMSR177_16ILLICAAERIAL_GRADING_OVERVIEW_v2_vector.zip,http://emergency.copernicus.eu/mapping/system/files/components/EMSR177_16ILLICAAERIAL_GRADING_OVERVIEW_v2_300dpi.tif
